Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [�C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;1648.217;-1718.078;389.413;0.004 (Maximum: 0.064 mm);0.002;0.002;0.002;RRR 1.5in;24.4;1008;78;'30.04.2025 17:26:03.067;;
2;1583.184;-1721.693;389.555;0.002 (Maximum: 0.064 mm);0.001;0.001;0.001;RRR 1.5in;24.4;1008;78;'30.04.2025 17:26:32.999;;
3;1549.614;-1726.280;389.634;0.002 (Maximum: 0.064 mm);0.001;0.001;0.001;RRR 1.5in;24.4;1008;78;'30.04.2025 17:26:45.835;;
4;1496.796;-1737.378;389.767;0.002 (Maximum: 0.063 mm);0.001;0.001;0.001;RRR 1.5in;24.4;1008;78;'30.04.2025 17:26:56.850;;
5;1436.924;-1756.017;389.945;0.003 (Maximum: 0.063 mm);0.002;0.002;0.001;RRR 1.5in;24.4;1008;78;'30.04.2025 17:27:07.155;;
6;1377.480;-1781.506;390.125;0.002 (Maximum: 0.063 mm);0.001;0.001;0.001;RRR 1.5in;24.4;1008;78;'30.04.2025 17:27:21.434;;
7;1332.813;-1805.839;390.286;0.003 (Maximum: 0.063 mm);0.002;0.002;0.002;RRR 1.5in;24.4;1008;78;'30.04.2025 17:27:30.674;;
8;1279.717;-1841.558;390.509;0.004 (Maximum: 0.063 mm);0.003;0.002;0.001;RRR 1.5in;24.4;1008;80;'30.04.2025 17:27:49.084;;
9;1232.737;-1880.630;390.724;0.004 (Maximum: 0.063 mm);0.003;0.002;0.001;RRR 1.5in;24.4;1008;80;'30.04.2025 17:27:59.563;;
10;1251.484;-1864.082;390.635;0.004 (Maximum: 0.063 mm);0.003;0.002;0.001;RRR 1.5in;24.4;1008;80;'30.04.2025 17:28:16.060;;
11;1530.202;-1585.636;210.062;0.003 (Maximum: 0.062 mm);0.001;0.001;0.002;RRR 1.5in;24.4;1008;80;'30.04.2025 17:28:49.485;;
12;1550.461;-1626.418;275.623;0.004 (Maximum: 0.062 mm);0.002;0.002;0.002;RRR 1.5in;24.4;1008;80;'30.04.2025 17:29:05.721;;
13;1573.493;-1672.847;337.098;0.004 (Maximum: 0.063 mm);0.002;0.002;0.003;RRR 1.5in;24.4;1008;80;'30.04.2025 17:29:16.326;;
14;1602.736;-1731.939;401.024;0.007 (Maximum: 0.064 mm);0.005;0.005;0.001;RRR 1.5in;24.4;1008;80;'30.04.2025 17:29:28.355;;
15;1632.726;-1792.663;454.267;0.005 (Maximum: 0.065 mm);0.003;0.003;0.003;RRR 1.5in;24.4;1008;80;'30.04.2025 17:29:39.471;;
16;1653.321;-1834.369;484.983;0.005 (Maximum: 0.066 mm);0.004;0.004;0.001;RRR 1.5in;24.4;1008;80;'30.04.2025 17:29:51.440;;
17;1679.440;-1887.346;518.162;0.005 (Maximum: 0.066 mm);0.003;0.004;0.002;RRR 1.5in;24.4;1008;80;'30.04.2025 17:30:05.107;;
18;1686.757;-1902.199;526.392;0.010 (Maximum: 0.067 mm);0.007;0.007;0.003;RRR 1.5in;24.4;1008;80;'30.04.2025 17:30:20.065;;
19;1587.067;-1700.261;368.458;0.004 (Maximum: 0.064 mm);0.002;0.002;0.001;RRR 1.5in;24.4;1008;80;'30.04.2025 17:30:35.086;;
20;1522.476;-1570.116;181.189;0.007 (Maximum: 0.062 mm);0.004;0.004;0.002;RRR 1.5in;24.4;1008;80;'30.04.2025 17:30:47.139;;
21;1588.228;-1705.140;120.288;0.003 (Maximum: 0.063 mm);0.002;0.002;0.001;RRR 1.5in;24.4;1008;80;'30.04.2025 17:31:24.728;;
22;1583.877;-1695.886;160.018;0.002 (Maximum: 0.063 mm);0.001;0.001;0.002;RRR 1.5in;24.4;1008;80;'30.04.2025 17:31:34.398;;
23;1580.228;-1687.978;202.258;0.003 (Maximum: 0.063 mm);0.002;0.002;0.001;RRR 1.5in;24.4;1008;80;'30.04.2025 17:31:42.168;;
24;1576.672;-1680.084;262.250;0.002 (Maximum: 0.063 mm);0.001;0.001;0.001;RRR 1.5in;24.4;1008;80;'30.04.2025 17:31:53.042;;
25;1575.135;-1676.480;311.018;0.003 (Maximum: 0.063 mm);0.001;0.001;0.003;RRR 1.5in;24.4;1008;80;'30.04.2025 17:32:05.866;;
